wheel,station,sector,NSegments,xx,yy,zz,aa,bb,cc
-1,3,4,30030,4.80E-05,0.000526895,0.00273313,1.22E-07,1.09E-07,1.48E-08
-1,3,5,31546,4.67E-05,0.000504625,0.00260647,1.16E-07,1.03E-07,1.40E-08
-1,3,6,32725,4.67E-05,0.000512621,0.00265869,1.13E-07,9.91E-08,1.35E-08
-1,3,7,27577,5.96E-05,0.00061711,0.00324185,1.36E-07,1.23E-07,1.66E-08
-1,3,8,31268,4.67E-05,0.000516419,0.00269647,1.17E-07,1.06E-07,1.44E-08
-1,3,9,27598,5.40E-05,0.000570658,0.00296468,1.35E-07,1.18E-07,1.63E-08
-1,3,10,11669,0.000232763,0.0010168,0.0105872,2.24E-06,9.75E-07,1.19E-07
-1,3,11,29731,5.24E-05,0.000564044,0.0029396,1.25E-07,1.10E-07,1.52E-08
-1,3,12,30173,5.00E-05,0.000569367,0.00298017,1.23E-07,1.14E-07,1.53E-08
-1,4,1,49171,9.57E-05,,0.00602161,1.25E-06,3.74E-07,4.01E-08
-1,4,2,49193,9.81E-05,,0.00620468,1.20E-06,3.64E-07,4.14E-08
-1,4,3,33072,0.00013665,,0.0085944,3.07E-06,5.18E-07,9.84E-08
-1,4,4,None,9.74E-05,,0.009837958071,3.52E-06,4.89E-06,3.43E-08
-1,4,5,49975,9.09E-05,,0.00539663,1.23E-06,3.55E-07,3.81E-08
-1,4,6,51370,8.89E-05,,0.00524247,1.21E-06,3.48E-07,3.70E-08
-1,4,7,51997,8.81E-05,,0.0051906,1.19E-06,3.45E-07,3.67E-08
-1,4,8,51754,8.27E-05,,0.000873863,1.18E-06,7.76E-08,3.21E-08
-1,4,9,16004,0.000341528,,0.0503469,2.20E-05,3.68E-05,6.78E-08
-1,4,10,None,9.74E-05,,0.009837958071,3.52E-06,4.89E-06,3.43E-08
-1,4,11,19735,0.000254278,,0.0444838,1.58E-05,2.89E-05,5.30E-08
-1,4,12,49824,8.70E-05,,0.00537646,1.16E-06,3.47E-07,3.55E-08
-1,4,13,None,9.74E-05,,0.009837958071,3.52E-06,4.89E-06,3.43E-08
-1,4,14,None,9.74E-05,,0.009837958071,3.52E-06,4.89E-06,3.43E-08
0,1,1,25644,2.02E-05,1.90E-05,0.000437638,2.13E-07,1.71E-07,3.31E-09
0,1,2,23081,2.00E-05,1.65E-05,0.000531486,1.73E-07,2.45E-07,3.24E-09
0,1,3,32504,1.48E-05,1.36E-05,0.000238174,1.52E-07,1.28E-07,2.25E-09
0,1,4,33318,1.47E-05,1.44E-05,0.000403453,1.61E-07,1.69E-07,2.48E-09
0,1,5,34242,1.44E-05,1.09E-05,0.000312041,1.23E-07,1.13E-07,2.03E-09
