endcap,station,ring,chamber,NSegments,xx,yy,zz,aa,bb,cc
1,2,2,36,11919,8.82E-05,0.0435564,0.009025,1.52E-07,2.26E-07,1.04E-08
1,3,1,1,55646,3.73E-06,0.000489938,0.0064,3.24E-08,2.30E-07,1.97E-09
1,3,1,2,55515,4.07E-06,0.000545157,0.0064,3.24E-08,2.30E-07,2.21E-09
1,3,1,3,50213,4.14E-06,0.000536975,0.0064,3.24E-08,2.30E-07,2.32E-09
1,3,1,4,54887,4.03E-06,0.000531851,0.0064,3.24E-08,2.30E-07,2.19E-09
1,3,1,5,54486,3.83E-06,0.000509233,0.0064,3.24E-08,2.30E-07,2.04E-09
1,3,1,6,49529,4.32E-06,0.000566391,0.0064,3.24E-08,2.30E-07,2.41E-09
1,3,1,7,36798,5.36E-06,0.000541727,0.0064,3.24E-08,2.30E-07,2.84E-09
1,3,1,8,50126,4.31E-06,0.000566523,0.0064,3.24E-08,2.30E-07,2.44E-09
1,3,1,9,51637,3.87E-06,0.000515395,0.0064,3.24E-08,2.30E-07,2.05E-09
1,3,1,10,52940,4.07E-06,0.000540293,0.0064,3.24E-08,2.30E-07,2.23E-09
1,3,1,11,53516,3.78E-06,0.00049934,0.0064,3.24E-08,2.30E-07,2.00E-09
1,3,1,12,52245,4.19E-06,0.000580103,0.0064,3.24E-08,2.30E-07,2.28E-09
1,3,1,13,54309,3.67E-06,0.000484061,0.0064,3.24E-08,2.30E-07,1.94E-09
1,3,1,14,57401,3.82E-06,0.000511127,0.0064,3.24E-08,2.30E-07,2.05E-09
1,3,1,15,56933,3.57E-06,0.000480154,0.0064,3.24E-08,2.30E-07,1.86E-09
1,3,1,16,57894,3.86E-06,0.000509973,0.0064,3.24E-08,2.30E-07,2.07E-09
1,3,1,17,58069,3.68E-06,0.00048392,0.0064,3.24E-08,2.30E-07,1.94E-09
1,3,1,18,57526,3.83E-06,0.000514181,0.0064,3.24E-08,2.30E-07,2.09E-09
1,3,2,1,18529,5.99E-05,0.0100517,0.005625,1.64E-07,3.84E-07,6.73E-09
1,3,2,2,16397,7.62E-05,0.0121713,0.005625,1.64E-07,3.84E-07,8.20E-09
1,3,2,3,14734,9.71E-05,0.0364466,0.005625,1.64E-07,3.84E-07,1.02E-08
1,3,2,4,16518,0.000103808,0.012761,0.005625,1.64E-07,3.84E-07,1.11E-08
1,3,2,5,15823,7.26E-05,0.0202415,0.005625,1.64E-07,3.84E-07,8.26E-09
1,3,2,6,19623,5.84E-05,0.0301707,0.005625,1.64E-07,3.84E-07,6.82E-09
1,3,2,7,18632,5.68E-05,0.0302202,0.005625,1.64E-07,3.84E-07,6.06E-09
1,3,2,8,20799,5.10E-05,0.0288742,0.005625,1.64E-07,3.84E-07,5.46E-09
1,3,2,9,17646,6.07E-05,0.0318891,0.005625,1.64E-07,3.84E-07,6.23E-09
1,3,2,10,21267,4.99E-05,0.0290826,0.005625,1.64E-07,3.84E-07,5.62E-09
1,3,2,11,16010,7.23E-05,0.0351798,0.005625,1.64E-07,3.84E-07,7.33E-09
1,3,2,12,18530,6.28E-05,0.0104719,0.005625,1.64E-07,3.84E-07,6.92E-09
1,3,2,13,19122,5.48E-05,0.0328609,0.005625,1.64E-07,3.84E-07,5.90E-09
1,3,2,14,24036,4.26E-05,0.007222,0.005625,1.64E-07,3.84E-07,4.99E-09
1,3,2,15,22104,4.61E-05,0.00810446,0.005625,1.64E-07,3.84E-07,5.28E-09
1,3,2,16,22014,4.66E-05,0.00873066,0.005625,1.64E-07,3.84E-07,4.91E-09
1,3,2,17,15737,7.01E-05,0.0139498,0.005625,1.64E-07,3.84E-07,6.66E-09
1,3,2,18,16527,7.16E-05,0.0120584,0.005625,1.64E-07,3.84E-07,7.03E-09
1,3,2,19,17496,6.31E-05,0.0417229,0.005625,1.64E-07,3.84E-07,6.53E-09
1,3,2,20,20646,5.10E-05,0.0293994,0.005625,1.64E-07,3.84E-07,5.22E-09
1,3,2,21,14174,6.59E-05,0.0371011,0.005625,1.64E-07,3.84E-07,6.59E-09
1,3,2,22,22609,4.75E-05,0.0270487,0.005625,1.64E-07,3.84E-07,5.12E-09
1,3,2,23,20867,4.99E-05,0.00840525,0.005625,1.64E-07,3.84E-07,5.39E-09
1,3,2,24,22644,4.65E-05,0.0257096,0.005625,1.64E-07,3.84E-07,5.21E-09
1,3,2,25,18267,6.25E-05,0.0306428,0.005625,1.64E-07,3.84E-07,6.78E-09
1,3,2,26,19561,5.68E-05,0.0302083,0.005625,1.64E-07,3.84E-07,5.86E-09
1,3,2,27,17072,6.35E-05,0.034493,0.005625,1.64E-07,3.84E-07,6.41E-09
1,3,2,28,23982,4.30E-05,0.0252271,0.005625,1.64E-07,3.84E-07,4.85E-09
1,3,2,29,14726,7.42E-05,0.042423,0.005625,1.64E-07,3.84E-07,7.32E-09
1,3,2,30,17138,6.53E-05,0.0335954,0.005625,1.64E-07,3.84E-07,6.12E-09
1,3,2,31,17201,5.94E-05,0.0383953,0.005625,1.64E-07,3.84E-07,6.00E-09
1,3,2,32,21304,4.83E-05,0.0147807,0.005625,1.64E-07,3.84E-07,5.60E-09
1,3,2,33,21344,4.77E-05,0.0207569,0.005625,1.64E-07,3.84E-07,5.51E-09
1,3,2,34,19462,5.62E-05,0.0312234,0.005625,1.64E-07,3.84E-07,5.81E-09
1,3,2,35,13658,9.32E-05,0.0395328,0.005625,1.64E-07,3.84E-07,8.71E-09
1,3,2,36,17250,3.02E-05,0.027159,0.005625,1.64E-07,3.84E-07,3.79E-09
1,4,1,1,43893,6.39E-06,0.000834782,0.003025,3.03E-07,3.03E-07,4.39E-09
1,4,1,2,44860,6.83E-06,0.000906659,0.003025,3.03E-07,3.03E-07,4.67E-09
1,4,1,3,42351,6.80E-06,0.000895678,0.003025,3.03E-07,3.03E-07,4.64E-09
1,4,1,4,44585,6.74E-06,0.000875862,0.003025,3.03E-07,3.03E-07,4.56E-09
1,4,1,5,42103,6.67E-06,0.000876812,0.003025,3.03E-07,3.03E-07,4.58E-09
1,4,1,6,40074,7.32E-06,0.000937275,0.003025,3.03E-07,3.03E-07,5.05E-09
1,4,1,7,37880,7.15E-06,0.000907879,0.003025,3.03E-07,3.03E-07,4.93E-09
1,4,1,8,40569,7.21E-06,0.000929357,0.003025,3.03E-07,3.03E-07,5.00E-09
1,4,1,9,40516,6.65E-06,0.000875931,0.003025,3.03E-07,3.03E-07,4.58E-09
1,4,1,10,43119,6.54E-06,0.000857984,0.003025,3.03E-07,3.03E-07,4.48E-09
1,4,1,11,42319,6.45E-06,0.000843482,0.003025,3.03E-07,3.03E-07,4.43E-09
1,4,1,12,43823,6.60E-06,0.000872011,0.003025,3.03E-07,3.03E-07,4.54E-09
1,4,1,13,43422,6.25E-06,0.000818141,0.003025,3.03E-07,3.03E-07,4.29E-09
1,4,1,14,46393,6.27E-06,0.000829944,0.003025,3.03E-07,3.03E-07,4.31E-09
